name,status
FiveCubits,closed
Larotec,closed
Duck Duck Moose,closed
Arts & Analytics,closed
Learnerator,closed
Organic Pizza Kitchen,operating
WebStudiyo Productions,closed
Outitude,closed
Tesoro Enterprises,closed
trinket,operating
CarZen,closed
MyTelemedicine.com,closed
ORIC Pharmaceuticals,closed
Datasnap.io,operating
in2apps,operating
Warwick Analytical Software Limited,closed
VIP SOUL,closed
Distributed Energy Management,closed
Skyrider,closed
RouterShare,operating
Drone Aviation,operating
Fastly,closed
Physiostream,operating
MediaCore,operating
DooBop,operating
"Radio Revolution Network, LLC",closed
Delighted,operating
Oshiboree,operating
Secant Therapeutics,operating
YOHO,operating
PlayFirst,operating
Maguru.dk,closed
DoubleDutch,operating
Evergage,operating
AllTranz,closed
Global Analytics,operating
Beijing iChao Online Science and Technology,closed
Modenus Media,operating
IceCream,operating
Wave3Studio,closed
LaunchCenter 39,operating
SOV Therapeutics,operating
DogVacay,closed
DemandTec,operating
CanvasFilp,closed
Cyto Wave Technologies,closed
Charm City Food Tours,operating
Digital Health Outcomes,closed
VeriCenter,closed
Mangstor,closed
audibene,operating
Inventure Enterprises,operating
Gazillion Entertainment,operating
Coradiant,closed
Lifeables,operating
"Likeminder, Inc.",closed
Hobo Labs,operating
BlueAnatomy,operating
SBA Bank Loans,operating
BorderX Lab,operating
Banister Works,operating
Harri,operating
Phantom Fiber,operating
GraphAlchemist,closed
Arsenal Medical,closed
A&L Technology,operating
Jmdedu.com,operating
IntelinAir,operating
Zixi,closed
Dodonation,operating
Kotak Urja,operating
Ninsight Broadcast,closed
Morgan Daniels Training Ltd,operating
Jaeger,operating
BioMimetix Pharmaceutical,closed
BOATHOUSE ROW SPORTS,operating
Keiz Marshall Performing Arts Academy,operating
Mithridion,operating
Skyepack,operating
ArrowPoint Communications,closed
eTukTuk,closed
Wiral Internet Group,operating
RxData,closed
Zefanclub,closed
Synchronicity.co,operating
All in One Medical,operating
Trendy Butler,closed
Flipora,operating
TriState Capital,closed
Vuzix,operating
GetYou,operating
Undercover Colors,operating
Journeys,closed
SafetyTat,operating
Société Internationale de Plantations d'Hévéas,closed
aXess america,closed
Browsarity,closed
ArtBinder,closed
First V1sion,operating
Seesmic,closed
Irynsoft,closed
OneCubicle,closed
Emergent Payments,operating
Fair Winds Brewing,operating
Believe.in,closed
MegaHoot,operating
MedTel.com,operating
Farmainstant,closed
Bontact,operating
UeeeU.com,operating
OmniSky,closed
3Dmena,closed
iCatapult,closed
SquadLocker,operating
SameDay Security,closed
peerfit,operating
Toucan Global,closed
Eve,closed
ACTIV Financial Systems,closed
NORCAT,closed
ibabybox,closed
Algenetix,closed
eyetok,closed
Sapience Analytics Private Limited,closed
Red Mango,closed
Myndbee Inc.,closed
Matricore,closed
YUME kids wear,operating
Citydeal.de,closed
isaac10 GmbH,operating
IPLSHOP Brasil,operating
Cazoodle,closed
Reality Crowd TV Media Corporation,closed
Cityblis,operating
Keebitz,closed
"Workiva, Inc.",operating
MindEdge,closed
Wrike,closed
TUTORize,operating
People Interactive (India),closed
PSYLIN NEUROSCIENCES,closed
Aidhenscorner,closed
DoubleVerify,operating
Versium,operating
Achieve Financial Services,closed
Playbuzz,closed
FanTrail,closed
Implicit Monitoring Solutions,operating
US Toxicology,closed
Omnireliant,operating
Wiseryou,operating
Blueshift International Materials,operating
Arctic Island LLC,closed
Kapost,closed
GiveGab,closed
Antera Therapeutics,operating
MECLUB,closed
Koibanx,operating
Fluency,closed
WITS(MD),closed
Vimessa,closed
Solulink,closed
Tailor Made Oil,closed
Indochino,closed
Wallix,closed
Wivo,closed
Averna,operating
Overture Technologies,closed
Bluespec,operating
Boom Financial,closed
DerbySoft,closed
Matchmaker Videos,closed
Brandwatch,closed
OnSite Access,closed
DvineWave,operating
Kalibrr,closed
Helios Towers Africa,closed
SPF Solutions,closed
wezzoo,closed
Syndero,operating
Ardelyx,closed
Post-A-Vox,operating
One On One,operating
ACCESS Bill Pay Services,operating
MacroGenics,operating
Anthology Solutions,closed
EcoPort,closed
Training Intelligence,operating
NXTM,closed
Picofemto,operating
Bancha,closed
InfoReady,operating
Virtual Web,closed
Uklipz Social Media Inc,closed
Manflu,operating
Apani Networks,operating
United LED Corporation,operating
AirCell,operating
Adjacent Applications,closed
"MoveableCode, Inc.",closed
Aptean,closed
ClaraStream,operating
Myngle,operating
Plutio,operating
Hydro-Photon,operating
UsabilityTools,operating
American Discount Pharmacy Crop,closed
Testif,operating
Endorse,operating
Aniboom,closed
ES Holdings,operating
Frilp,closed
Ucha.se,closed
Immune Therapeutics,operating
eeden,operating
OneAccess,closed
Xumii,closed
Bamatea,closed
VIP Parking,closed
Ingeliance,closed
tripMD,operating
Iron Will Innovations,closed
TicketFire,operating
Afoundria,operating
Specialized Tech,operating
Lawnmower,closed
The Ahtlete's Business Network,operating
SBR Health,operating
Energy Harvesters LLC,closed
WetFeet,operating
Seneco,closed
TeleRetail Corporation,closed
dacadoo,closed
Money Forward,operating
Enertec Systems,closed
Accelerate Diagnostics,operating
ArcSoft,operating
E-Generator,operating
Power OLEDs,operating
Doctor At Work,operating
Active Life Scientific,closed
Moya Okruga,closed
EsLife,operating
Cordium,closed
ExTractApps,closed
SpotHero,closed
Blowhorn,closed
Loki Studios,closed
BrightSide Software,operating
GemShare,closed
Raynforest,closed
IBUonline,operating
VSware,closed
Ortopedio.pl,closed
Comic Wonder,closed
EXPO Communications,operating
JamLegend,closed
Brainlike,operating
Marginize,closed
ShoutEm,closed
Yardbarker Network,operating
Cloudintelligence,closed
Apprats,closed
NEURA Energy Systems,closed
Observe Design,closed
Food Quality Sensor International,closed
CTS Media,closed
payleven,operating
MyGrove Media,operating
BroadWare Technologies,operating
Line-Up,closed
Wish,operating
Quartix,operating
BragThis.com,operating
Yagomart,operating
Vylkira Games,operating
Cinnamon Social,closed
NexCura,closed
Kippt,closed
Advanced Marketing & Media Group,operating
Stellarray,closed
MainStreet Bank,operating
Personera,closed
Clio,closed
HowDo,closed
Mplife.com,operating
Roojoom,closed
Sideband Networks,closed
getupp,closed
TutorTap,operating
Intelligent Mobile Support,operating
Greendimes,closed
Medpike,operating
"Thoughtful Research, Inc.",closed
Modern Guild,closed
Furious Corp,operating
Telnext Communications,closed
Adelphic,operating
Montondo Trailer,operating
Wibbu,closed
YouChe.com,operating
Flexis,closed
Pique Therapeutics,closed
Circle Technology,operating
CARsgen Therapeutics,closed
CentrPort,operating
NoteWagon,operating
The Better Software Company,closed
PriceWaiter,operating
Atlantis Computing,closed
MyOptique Group,closed
Daintree Networks,closed
start A FIRE,operating
Green Earth Aerogel Technologies,closed
6connect,closed
BioScience,closed
JustFab,operating
MoneyLion,closed
Dot Medical,operating
Mondeca,operating
JH Network,operating
Blooom,operating
Greenline Industries,closed
Bonial International Group,operating
Going Green Today,operating
Adtile Technologies Inc.,operating
Petizens.com,operating
Socar,closed
RenovoRx,operating
Eka Systems,closed
ZOOT,closed
Certify Data Systems,closed
Urbita,operating
CopperGate Communications,closed
fishfishme,closed
Little,closed
Govini,closed
BidRazor,operating
Handy,closed
Vigme,closed
RootsRated,operating
DailyWorth,closed
CromoUp,operating
AgraQuest,closed
TrenStar,operating
Nanotech Semiconductor,operating
BlueTurtleBio Technologies,operating
UDR,closed
EDP Biotech,operating
Viirt,closed
Gotta'go Personal Care Device,closed
Hungrio,operating
Fiveworx,operating
Trapit,closed
Breadcrumbtracking,closed
How do you roll?,closed
Autonet Mobile,closed
Tourism4me,closed
Tobuy,operating
iHydrate,closed
Linkfluence,closed
Skyatlas,operating
Panda Security,closed
International Gaming League,closed
FreeAgent,operating
Mu Dynamics,operating
Gigfairy,operating
Datavail,closed
EverString,operating
NeuroBionics,operating
mVakil - Track Court Cases Live,closed
Monstar Lab,operating
BedyCasa,closed
Flow Traders,closed
Playhem,closed
CrowdRating,operating
Nusirt,closed
Cooper's Classics,closed
SelfDrvn Enterprise Pte Ltd,operating
Spock,closed
Get your job!,closed
Alpha (fitness),closed
Touristlink,closed
Simpirica Spine,operating
XPD Media,closed
Zoliro,closed
Bidu Corretora,operating
Cerapedics,operating
Andoayudando.com,closed
Ammado AG,closed
GameTube,operating
Diffusion Pharmaceuticals,operating
Netherin Enterprises,closed
BookDoc,operating
ViewCast,operating
SCONTO DIGITALE,operating
Vtrim,closed
Knowta,operating
Shopilist,closed
DameJidlo,operating
Captain Wise,closed
Novalys,operating
Top100.cn,operating
Petsy,operating
ICE Technologies,operating
Attender,closed
Greener Expressions,closed
Genuine People,operating
Spectral Edge,closed
Factual,closed
Rockbot,operating
MyPermissions,operating
Shopear,operating
Laiyaoyao,operating
L2C,closed
Organics Rx,operating
Theranostics Health,operating
ThinkSmart,closed
RegeneMed,operating
Tiger Pistol,operating
TheFamily,closed
MTPV,operating
Control4,operating
Surgery Center at Tanasbourne,operating
Tasteful,operating
B-Side Entertainment,operating
Energy Focus,operating
MoboFree,closed
InstantQ,closed
Genomic Vision,operating
Antelope Surgical Navigation,operating
SenseLabs (formerly Neurotopia),operating
Undertone,operating
Ozmosis,operating
Class Travel Pty Ltd,operating
LibriLoop,operating
CloudWork,operating
CEVEC Pharmaceuticals,operating
CDI Bioscience,operating
BriefCam,closed
SummuS Render,closed
ALUHEAT,closed
PresseTrends.com,closed
CloudAcademy,closed
Blue Triangle Technologies,operating
Vitalea Science,operating
Dailymotion,operating
Linkable Networks,closed
Raymedica,operating
Incluyeme.com,closed
Accendo Therapeutics,operating
"Yaga, Inc.",closed
BestSecret.com,operating
Outcomes for Children,operating
Pinger,closed
Shop pirate,operating
WellTek,operating
Hiveplay,operating
"hopOn, Inc.",operating
DVDPlay,closed
120 Sports,closed
Mr Banana,operating
CliniCast,closed
3sun,closed
VATBox,closed
Actionality,closed
Valencell,closed
Piku Media K.K.,closed
Squirro,operating
ProNewTech S.A.,operating
SuiteLinq,closed
DataGravity,closed
Advalight,closed
Ravenflow,operating
Avalon Solutions Group,closed
FRNZ labs,operating
Streamworks Products Group(SPG),closed
Worldzen Holdings,closed
Poetica,closed
PartyWithMe,closed
HiveLive,closed
Oldelft Ultrasound,operating
Resonant Sensors Inc.,operating
Pombai,operating
Health2Sync,closed
Eureka Therapeutics,closed
Cybronics,operating
Insureon,operating
Trusted Opinion,operating
Gemisimo,operating
Toutiao,closed
Genable Technologies Ltd.,operating
Eat Kid Friendly,operating
Indoorgo Navigation Systems ltd.,operating
Medyria,closed
Language Logistics,closed
Chemayi,operating
Tour Desk,operating
Survios,closed
"Ryan-O, Inc",closed
Plutus Software,closed
eSNF,closed
RegulatoryBinder,operating
EmployeeReferrals.com,closed
Sirion Therapeutics,operating
EstatesDirect.com,operating
Koru,operating
Onyvax,closed
I & Combine,closed
MarkMonitor,operating
AdsWizz,operating
Gaiacom Wireless Networks,operating
artaculous,closed
B-sm@rk,closed
Polygon Games,closed
Heavenly Foods,operating
C4Robo,closed
Limei Advertising,operating
CareerImp,operating
Brite Health,closed
Stor Networks,closed
Identification Solutions,closed
Dyme.co,operating
Unsocial,closed
Wovn,closed
RepUp,operating
MyCheck,closed
ConjuChem,operating
Aiming,operating
Zola,operating
Litigain,operating
Popularo,operating
Hit Streak Music,closed
Glaxstar,closed
Airsynergy,closed
LiB,operating
QBotix,closed
TenXc Wireless,operating
BlackStar Technologies,closed
Dauntless Pharmaceuticals,closed
The Optima,operating
Quadia Online Video,operating
SonarMed,operating
Crowd Fusion,closed
MotherKnows,closed
Primary Real Estate Solutions,closed
Shift Payments,operating
Aegis Oil,closed
Rhythm Networks,operating
DIY Shop,closed
Itaro,closed
BasicGov Systems,operating
Capital Match,closed
Source3,closed
Discoverly,operating
CorkSharing,operating
CureDM,operating
The Surgical Center,operating
BrabbleTV.com LLC,closed
NexGear,closed
Deminos,operating
Bright Willow,operating
Flypad,operating
SmartSynch,closed
Jottr,operating
RegainGo,closed
Akustica,operating
Orthocone,operating
SiliconStor,operating
Tripshare,closed
PhotoSecure,closed
PayDragon,operating
Pathogen Systems,closed
Vouchercloud,closed
Shizen Energy Inc.,operating
TapZilla,operating
AdWired,operating
Acendre,closed
Struq,operating
Pepscan,closed
One Africa Media,closed
EveryMove,closed
Australian American Mining Corporation,closed
Micro Tempus Inc.,closed
IQ Logic,closed
Zhijiang Jonway Automobile,operating
Pound Rockout Workout,closed
GreenOffOn,operating
nestpick,closed
Fantasy Feud,operating
Beijing Infinite World,operating
Adstrix,operating
Carbon Salon,closed
Body Labs,closed
Citizens Rx,closed
Corventis,closed
Ornicept,operating
Global Yodel,operating
Music Kickup,operating
c6 Software Corporation,closed
Masteriya,closed
Better Schools Project,operating
eTool.io,closed
Prozo.com,closed
Mpex Pharmaceuticals,operating
HeadSense Medical,closed
Chatty,closed
Vendobots,operating
EasyTek,operating
Edison Nation,closed
Solidagex,operating
Nexosis,operating
Concerto Healthcare,closed
Pando Networks,closed
Salix Pharmaceuticals,operating
Teddy The Guardian,closed
Tasted Menu,operating
Trov,operating
MobilyTrip,operating
Snapbridge Software,closed
CleveX,operating
"Solebrity, Inc.",operating
Socotra,closed
Baxi,closed
Zambah,closed
Knomad,operating
"Lend Street Financial, Inc.",closed
Zepteon,operating
MyFitnessPal,operating
ExtremeOcean Innovation,operating
Everyone Counts,closed
Xerographic Document Solutions,closed
Anchor Fabrication,closed
AppsFunder,closed
PHYSICIANS IMMEDIATE CARE,closed
SoftGenetics,closed
World Surveillance Group,closed
makr,operating
Agrostar,operating
ActiveSec,closed
Actus Digital,operating
Benesight,closed
Global Online Devices,closed
Perez Forensic Strategies,operating
CareDox,operating
Attunity,closed
LinkCloud,operating
Greenling,operating
Winnin,closed
Simplificare,closed
Emay Softcom,closed
IASIS Healthcare,operating
"Icagen, Inc.",closed
Stylight,closed
Rakuten,closed
Community Leader,closed
ThreatTrack Security,closed
Unowhy,operating
Jigsaw Meeting,operating
Desert Industrial X-Ray,operating
FASTNET,closed
Gordian Surgical,operating
geoLOGIC,operating
Analyte Logic,closed
Kinems Learning Games,operating
IdenIve,operating
Philoptima,closed
Volance,closed
Avidbank Holdings,operating
Travel Desiya,operating
Recommendo,operating
Centrix Software,operating
The Nature Conservancy,closed
Ektitaby,closed
Jordan Valley Semiconductors,operating
Optichron,closed
SMITH (formerly Ascentium),closed
NEXT Co,closed
AbsolutData,closed
Sixth Domain,closed
Eridan Technology,operating
Mogi,closed
Grab Media,closed
Skribit,closed
EgTran,closed
Entropic,closed
Grid20/20,closed
Voyence,operating
Xompass,operating
OurOldGroup,closed
Vir-Sec,operating
Glowpoint,closed
MicroPower Global,operating
Mask.it,operating
SafeShot Technologies,operating
Kollabora,closed
Mlog,closed
BullseyeEngagement,operating
Outsource Partners International,closed
Mobile Patrol,closed
Arkivum,closed
Voy al Doc,closed
Ambow Education,closed
Life On Air,closed
"Xylo, Inc",operating
Nexamp,operating
ClubKviar,closed
Elderscan,closed
PathCentral,closed
Sovi,operating
Spry Hive Industries,operating
Hello Heart,operating
Backupify,operating
sulekha.com,operating
Attainia,closed
Pomello,operating
Flirq,operating
FuelFilm,operating
RedSeguro,closed
Hampoo Science & Technology,operating
MBDC Media,closed
Spinback,operating
Zazoom Media Group,closed
CompuPay,operating
Taquilla,closed
PulmOne,operating
Apostrophe Apps,operating
Live Life 360,operating
Abukai,operating
Hospitality Leaders,closed
Slide,operating
E-Mist Innovations,operating
HelloDisplay,closed
NanoPack,closed
Rhone Apparel,closed
kompany,operating
PDV,operating
"nextSociety, Inc.",operating
Foxy's Pash Frozen Yogurt,closed
DiscoveryBioMed,operating
Gesto Saúde e Tecnologia,operating
Onramp BioInformatics,operating
Ferris,closed
Smallbusiness.com,operating
Axine Water Technologies,operating
Mitrionics,operating
Urban Owl Eyewear,operating
ROLI,closed
Mister Mario,closed
Intouch,operating
StatAce,operating
Wecash,operating
Neven Vision,operating
Enterprise Productivity Software (EPS) Corp.,closed
9+ Program,closed
SeatWish,operating
NationWide Primary Healthcare Services,closed
Sportboom,closed
Yuenimei,operating
Customizer Storage Solutions,closed
MyFrontSteps,closed
Toma Biosciences,closed
Cardiac Pathways Corp,closed
Imaxio,operating
Higher Learning Technologies(HLT),operating
Main Street Genome,operating
I AM AT,operating
Viscose Closures,operating
Calm.io,closed
YottaMark,operating
Senor Sirloin,operating
Vertical Wind Energy,operating
Celebrations.com,operating
Kolorific,operating
SponDoolies-Tech,closed
MediaSite,closed
Gate2Play,operating
Over60,closed
SterraClimb,operating
Legimi,operating
Silent Communication,operating
Linko Inc.,closed
BRANDiD - Shop. Like a Man.,operating
kidthing,closed
Expensify,operating
GymHit,operating
ClearCube,closed
Parrot,operating
Gigalocal,closed
Communify Health,operating
AeroScout,operating
Fortinet,operating
Advanced Search Laboratories,closed
SeeClickFix,closed
American Oil Solutions,operating
Potentia Power Systems,operating
viseto,closed
Medical Reimbursements of America,closed
traceMyWay,operating
SEE Forge,closed
Buzzwire,operating
EyeCyte,closed
MRPEasy,operating
Melodigram,operating
Panacela Labs,closed
CleanApp,closed
Digium,operating
Pinnacle Transplant Technologies,operating
Globe Wireless,closed
Kura MD,operating
Emair,closed
Webpgr,closed
Tingbot,operating
Mingly,closed
Bank of Georgetown,operating
Keex,operating
Keyi Technology,closed
Winster,operating
AZTherapies,closed
Respondly,operating
Mswipe Technologies,operating
Gameyola,closed
ShopFully,operating
CircuitLab,operating
Total Attorneys,closed
Silo Labs,operating
LatinCoin,closed
Recomio,closed
Brainspace Corporation,closed
Qvella Corporation,operating
Intersoft Eurasia,closed
Swidjit,closed
Kimerick Technologies,operating
Weiboagent,closed
Melty,operating
EduVision Retail Technologies (Fastudent),operating
Snapsort,closed
Pendix GmbH,operating
MocoSpace,operating
Hivebeat,operating
Aternity,operating
Pansieve,closed
WeLink,closed
Firecomms,operating
Interface Masters,operating
JagTag,operating
Wokup,closed
Kidoodle,operating
Wuhan Kindstar Diagnostics,closed
Wizpert,closed
TipCity,operating
Spoke,operating
Realty 398,closed
General Assembly,operating
AirVM,operating
Orthogem,closed
Vital Energi,closed
OpenX,closed
Mine Shaft Brewing,operating
Sprout Pharmaceuticals,operating
HistoWiz,operating
Stentys,operating
San Marcos Springs,closed
Power Mech Projects,closed
Energryn,closed
New Ed Inc,closed
ChargeSpot,operating
MEDeCOACH,operating
Impact Engine,operating
PERORA,closed
b spot,operating
Snoball,closed
SolvAxis,operating
VBOX,closed
TiVUS,operating
Kaeuferportal,closed
Beestar,operating
Mango,closed
Webjam,closed
mmCHANNEL,operating
CrossFirst Bank,operating
BioLeap,operating
Barunsoft,closed
Nova Ideas,closed
Xelerated,closed
BioRegenerative Sciences,operating
California Arts Council,operating
Pipeline Biomedical Holdings,closed
GigMasters,operating
Flix Innovations Ltd,operating
IPV,operating
Bill's Transport,closed
Princeton eCom,operating
Active Endpoints,closed
Springfield Healthcare,closed
TrueLens,operating
Mobile Medical Testing,operating
"Field Agent, Inc.",closed
Alkymos,operating
ClickGanic,operating
Nugg-it,operating
Experenti,closed
DepoMed,closed
InstallShield Software Corporation,operating
Mr Po Media,closed
Zero Emission Energy Plants (ZEEP),operating
dcBLOX Inc.,closed
G3,closed
Energatix Studio,operating
Breezeworks,closed
Parchment,closed
Mercaris,operating
Fraud Sciences,operating
Seamless Medical Systems,operating
R&D Altanova,closed
IR Media Ventures,operating
Content Ramen,closed
OFACS LLC,closed
La Miu,operating
Decru,closed
Plethora Technology,closed
Innoz,operating
Instapio,operating
Meal In A Jar,operating
Stringify,operating
Isis Parenting,closed
Flux Factory,closed
Apartment Adda,operating
Pheed,closed
Nabsys,operating
Dragonfly List,closed
Geoforce,operating
365Scores,operating
ThinkSuit,operating
Azelon Pharmaceuticals,closed
Traffline,operating
VFA,operating
Lixto Software,closed
Lighter Living,closed
GeneWEAVE,closed
20Dresses,closed
PickUpPal,closed
payworks,operating
K-PAX Pharmaceuticals,closed
Laboratoire M2,closed
Urban Planet Media & Entertainment,closed
iHealthNetworks,closed
Dialoggy,operating
CommutePays,closed
kurv,closed
Greencloud Technologies,operating
Ember Therapeutics,operating
Sagoon,operating
Proximus,closed
Viewabill,closed
Kiwi Crate,closed
Betfair,operating
Boost My Ads,operating
Hyperloop Data,operating
Cartnav,operating
Moov cc.,closed
TNI medical,operating
foosye™,closed
Sight Machine,operating
Senior Cottage,operating
Camino Financial,operating
Ayla,operating
Gecko Health Innovations Inc. (formerly GeckoCap),closed
Popular Pays,closed
TheStylisted,operating
WholeWorldBand,operating
LightPointe,operating
PriceMatch,operating
EnOcean,operating
KUN RUN Biotechnology,closed
Check4cancer Ltd,operating
ServiceFrame,operating
PrimeRevenue,closed
Modebo,closed
Hunner Retail India Private Limited,operating
ClickMechanic,operating
ToneDen,closed
Emitless,closed
Taembe.com,closed
ThisNext,closed
DFKI,closed
Agorize,closed
RobArt,closed
Member Benefits,operating
Everseat,closed
RightNow Technologies,operating
Cubikal,operating
Gracelock Industries,operating
Wonder Forge,operating
MedSynergies,closed
NeoAccel,operating
Access Integrated Healthcare,closed
Jiffi,operating
Ebookpie,operating
WindGen Power Products,closed
Biodico,closed
Orbeus,closed
Eventap,closed
Piggydreams,closed
Qwire Holdings,closed
Social Touch,operating
Motiga,closed
FILLD,operating
Barkibu,closed
AdGent Digital,operating
AnyMeeting,closed
Amba Defence,operating
WorldCover,operating
Doctor.com,operating
Atlas Powered,closed
roomlinx,closed
Responsys,closed
Restlet,operating
BizGround,closed
Sporting Mouth,closed
First Rate Medical Transportation,operating
Rezzcard,closed
Giiv,operating
Renrendai,closed
Limejump,closed
Shop Airlines,closed
GetQd,operating
Baitianshi,closed
Traveling Spoon,closed
Somewhere,closed
